,times2,no_distortion_pixel_mean,no_distortion_count,distortion_pixel_mean,distortion_count,total_mean,total_count,timess,real_weight
0,20210823,1973.0,9.0,2077.0,3.6666666666666665,1997.6666666666667,12.666666666666666,20210823130581.0,378.0
1,20210830,2573.0,33.0,2671.3333333333335,7.0,2594.3333333333335,40.0,20210830130691.668,556.0
2,20210905,3320.3333333333335,34.0,3446.3333333333335,6.0,3340.0,40.0,20210905130425.668,827.0
3,20210913,4714.333333333333,27.666666666666668,5288.0,8.0,4840.0,35.666666666666664,20210913130487.332,1093.0
4,20210920,5857.333333333333,24.0,6161.666666666667,6.0,5918.0,30.0,20210920130352.0,1272.0
5,20210927,6440.333333333333,18.333333333333332,6964.666666666667,3.3333333333333335,6529.0,21.666666666666668,20210927130439.668,1379.0
6,20211004,6657.0,19.666666666666668,6980.333333333333,5.333333333333333,6749.0,25.0,20211004130449.668,1553.0
7,20211011,8111.0,12.666666666666666,8693.0,5.0,8277.333333333334,17.666666666666668,20211011130693.668,1715.0
8,20211018,7688.0,12.0,10240.0,4.0,7956.0,16.0,20211018130706.332,1787.0
9,20211025,8350.0,19.666666666666668,9630.0,4.333333333333333,8577.666666666666,24.0,20211025130665.332,1929.0
